position,adverbial indicator,NP-VP-NP,,score
0.1,0.8,0.4,0.9,0.6451534573533257
0.1,0.9,0.3,0.7,0.6063626724340491
0.2,0.0,0.0,0.3,0.643960737310047
0.2,0.1,0.6,0.9,0.6248497578306278
0.3,0.9,0.1,0.1,0.6063626724340492
0.2,0.8,0.6,0.9,0.6451534573533259
0.0,0.3,0.4,0.2,0.6064733457571349
0.1,0.5,0.3,0.3,0.5860560763011831
0.2,0.3,0.1,0.7,0.6439607373100468
0.1,0.5,0.1,0.5,0.6453621298336301
0.2,0.0,0.9,0.5,0.6101427785438429
0.2,0.0,0.5,0.0,0.6451534573533259
0.0,0.2,0.7,0.8,0.6248497578306279
0.2,0.4,0.1,0.3,0.6154688308052833
0.1,0.9,0.0,0.7,0.6645818397423745
0.6,0.4,0.3,0.6,0.6416654489720646
0.1,0.8,0.2,0.2,0.6182602381028763
0.3,0.5,0.5,0.6,0.6377645233190659
0.2,0.7,0.2,0.4,0.5874686424126448
0.3,0.3,0.5,0.7,0.6451534573533259
0.1,0.7,0.4,0.5,0.6063626724340491
0.3,0.6,0.7,0.3,0.606473345757135
0.1,0.7,0.2,0.1,0.6064733457571347
0.1,0.5,0.7,0.1,0.6098497114898191
0.2,0.3,0.6,0.2,0.6314760455151266
0.1,0.6,0.7,0.5,0.6214304783731612
0.0,0.0,0.3,0.1,0.6416654489720645
0.0,0.2,0.1,0.5,0.7124516195815971
0.1,0.6,0.5,0.3,0.61815850098601
0.5,0.7,0.4,0.2,0.6064733457571351
0.1,0.5,0.5,0.2,0.618279553354028
0.2,0.2,0.7,0.0,0.6075621534891866
0.6,0.8,0.7,0.1,0.6064733457571352
0.2,0.4,0.7,0.7,0.645153457353326
0.3,0.0,0.1,0.7,0.6439607373100469
0.2,0.1,0.3,0.2,0.6451534573533259
0.9,0.9,0.1,0.1,0.609849711489819
0.1,0.6,0.1,0.1,0.6063626724340491
0.3,0.7,0.8,0.9,0.6451534573533259
0.6,0.0,0.5,0.5,0.6439607373100469
0.1,0.7,0.9,0.6,0.587468642412645
0.2,0.1,0.7,0.0,0.6284095311442311
0.2,0.5,0.8,0.6,0.6440714106331327
0.0,0.1,0.7,0.2,0.6842408350802194
0.1,0.4,0.9,0.8,0.6267899410451445
0.8,0.3,0.8,0.2,0.6316720098110363
0.1,0.5,0.9,0.1,0.6237928325261145
0.3,0.9,0.1,0.3,0.6063626724340492
0.4,0.3,0.9,0.3,0.6440714106331326
0.1,0.6,0.3,0.2,0.5874686424126448
0.2,0.7,0.2,0.5,0.6063626724340492
0.2,0.0,0.9,0.6,0.6451534573533259
0.9,0.9,0.1,0.3,0.6255293778171848
0.2,0.0,0.5,0.1,0.6248497578306277
