no_mapping,no_mapping,no_mapping,score
0.1,0.9,1.0,0.10338939302301652
0.6,0.9,0.7,0.28861006250842164
0.2,0.7,0.1,0.16397927417627906
0.5,0.5,0.2,0.27272046129733735
0.3,0.8,0.8,0.17952602480493726
0.5,0.2,1.0,0.24542087645431257
0.1,0.5,0.8,0.33445907600172736
0.9,0.9,0.4,0.2727204612973374
0.6,0.5,0.2,0.25594811415185365
0.0,0.1,0.1,0.1825343133908323
0.5,0.8,0.1,0.21580030170923845
0.3,0.6,0.8,0.171212809493609
0.7,0.8,0.5,0.27284143141993517
0.7,0.3,0.8,0.24354092499508637
0.8,0.3,0.9,0.24955991177749265
0.6,0.5,0.4,0.25594811415185365
0.9,0.1,0.6,0.29133560938215874
0.3,0.4,0.7,0.11095747006511862
0.0,0.4,0.3,0.17530077807350233
0.8,0.4,0.1,0.25923964205083283
0.6,1.0,0.5,0.3245836121474148
0.9,1.0,0.2,0.16405812098175865
0.6,0.1,0.1,0.2493762015439654
0.3,0.6,1.0,0.09497632401703678
0.9,0.1,1.0,0.29133560938215874
0.6,1.0,0.9,0.3245836121474148
0.0,0.3,0.8,0.19208567979259714
0.2,0.5,0.4,0.11393678636014214
0.6,0.5,0.8,0.1659528947591401
0.3,0.4,0.9,0.13523925985461577
0.9,0.2,0.1,0.24511021667732663
0.7,0.9,0.0,0.2886100625084217
0.3,0.2,1.0,0.1281989008449224
0.4,0.1,0.3,0.12394899840000362
0.4,0.5,0.3,0.12059095920361568
0.7,0.4,0.5,0.26062555258647185
0.9,1.0,1.0,0.27284143141993517
0.9,0.2,0.5,0.2517412125477726
0.7,0.9,0.4,0.2886100625084217
0.1,0.7,0.1,0.01584473035677448
0.1,0.2,0.7,0.3344590760017274
0.8,0.5,0.5,0.2606255525864719
0.1,0.1,1.0,0.2727204612973374
1.0,0.0,0.9,0.3095906026892122
0.3,0.0,0.1,0.17203385573486013
0.8,0.5,0.7,0.2606255525864719
0.1,0.3,0.6,0.3344590760017274
1.0,0.1,0.1,0.16234144037296908
0.5,0.9,0.2,0.23423794466837974
1.0,0.1,0.5,0.29133560938215874
0.8,0.6,0.1,0.2559481141518537
0.7,1.0,0.1,0.2886100625084217
1.0,0.1,0.7,0.16234144037296908
0.8,0.6,0.5,0.2559481141518537
0.1,0.1,0.4,0.2727204612973374
0.6,0.7,0.5,0.2342379446683797
1.0,0.2,0.1,0.2517412125477726
0.3,0.0,0.7,0.17203385573486013
0.2,0.5,0.5,0.1072810305240153
0.9,0.4,0.7,0.25934321074574174
