no_mapping,no_mapping,no_mapping,score
0.6,0.7,0.1,0.8167859392030358
0.4,0.7,0.1,0.8250827615865147
0.1,0.7,0.8,0.46356719012846603
0.1,0.3,0.0,0.8250827615865147
0.2,0.1,0.8,0.34000867487643177
0.2,0.9,0.1,0.3186945094320043
0.4,0.4,0.9,0.809692310773859
0.2,0.3,0.5,0.4630162914428255
0.1,0.8,0.7,0.8250827615865147
0.1,0.5,1.0,0.517905407196764
0.9,0.5,0.8,0.8057170070205005
0.3,0.6,0.5,0.8250827615865147
0.1,0.8,0.2,0.3869523462365089
0.4,0.0,0.9,0.7592301278532166
0.3,0.1,0.7,0.5836823578888093
0.3,0.0,1.0,0.7592301278532169
0.1,0.7,0.6,0.8250827615865148
0.0,0.3,0.7,0.39852558196795124
0.1,1.0,0.6,0.28787820413415094
0.3,0.7,0.7,0.8250827615865147
0.2,0.6,0.9,0.8250827615865147
0.2,0.0,0.5,0.7592301278532172
0.1,0.6,0.1,0.4310889111210688
0.1,0.8,1.0,0.3869523462365089
0.2,0.7,0.5,0.5115536308650693
0.2,0.3,0.1,0.8178988929559617
1.0,0.6,0.3,0.8045529173343015
0.3,0.3,0.5,0.8096923107738592
0.1,0.7,0.4,0.8250827615865147
0.5,0.9,0.0,0.8250827615865145
0.1,1.0,0.3,0.8250827615865148
0.3,0.5,0.4,0.5479973595589493
0.0,0.4,0.1,0.42912588404243174
0.1,0.8,0.0,0.3402648032352692
0.4,0.9,0.7,0.8250827615865147
0.1,0.7,0.2,0.36681181567412935
0.3,0.4,0.5,0.8178988929559617
0.1,1.0,0.0,0.3869523462365089
0.1,0.9,0.5,0.3638946934608706
0.2,0.1,0.5,0.7862821404819829
0.0,0.4,0.7,0.5530510530330753
0.7,0.1,0.6,0.7488675016864199
0.1,0.5,0.4,0.8250827615865145
0.2,0.8,0.3,0.3869523462365089
0.1,0.7,0.9,0.410971417564701
0.5,0.6,0.5,0.6250803144737087
0.2,0.4,0.1,0.6188161809493345
0.1,0.4,0.1,0.8250827615865143
0.2,0.5,0.0,0.386952346236509
0.1,1.0,0.7,0.36874081295533323
0.7,0.6,0.1,0.8182985731427185
0.2,0.9,0.3,0.5016606399462338
0.5,0.3,0.9,0.8045529173343011
0.6,0.2,0.5,0.8406700065366457
0.3,0.1,0.9,0.4997343053493484
0.4,0.9,0.9,0.8250827615865147
0.3,0.1,0.1,0.8305900972490281
0.4,0.7,0.5,0.8250827615865147
1.0,0.7,0.2,0.8182985731427189
0.2,0.6,0.1,0.5479973595589493
0.1,1.0,0.4,0.4883525813507538
0.3,0.3,0.8,0.5329243793528551
0.2,0.3,0.7,0.44532332220840226
0.1,0.9,0.9,0.39620834228836527
0.2,0.7,0.7,0.5479973595589493
1.0,0.7,0.4,0.8182985731427189
0.2,0.5,0.1,0.8250827615865147
0.6,0.2,0.9,0.8406700065366457
0.2,0.9,0.4,0.3869523462365089
0.9,0.7,0.0,0.8182985731427187
0.2,1.0,0.1,0.8250827615865148
0.4,0.3,0.3,0.8182985731427185
0.5,0.1,0.9,0.8247642045059966
0.0,0.5,0.1,0.48272675508822943
0.8,0.1,0.3,0.7488675016864199
0.3,1.0,0.5,0.8250827615865148
0.2,0.6,0.3,0.37403548217142274
0.4,0.7,0.7,0.6250803144737087
0.8,0.9,0.5,0.816785939203036
0.3,0.8,0.0,0.8250827615865147
0.0,0.2,0.7,0.35672471964614916
0.1,0.8,0.4,0.3250713120708042
0.2,0.2,0.9,0.5179054071967643
0.5,0.9,0.6,0.8250827615865145
0.7,0.2,0.1,0.8305900972490274
