position,clausal conjunction,adverbial indicator,NP-VP-NP,score
0.8,0.3,0.9,0.9,0.9996224660069485
0.1,0.2,0.2,0.5,0.5126118049130647
0.5,0.6,0.7,0.0,0.6976553207014361
0.1,0.3,0.5,0.6,0.2214216225590132
0.1,0.3,0.7,0.6,0.29222723007852225
0.2,0.8,0.3,0.6,0.6972777867083847
0.0,0.1,0.0,0.9,0.7738137170035109
0.0,0.1,0.6,0.9,0.6419158470768304
0.1,0.3,0.1,0.8,0.22464109346289243
0.1,0.4,0.9,1.0,0.5126118049130645
0.1,1.0,0.6,0.5,0.15812519654748877
0.1,0.4,0.5,0.2,0.6166348929235275
0.1,0.5,0.6,0.7,0.5650255471485286
0.0,0.1,0.6,0.7,0.38145368234580734
0.1,0.2,1.0,1.0,0.4377032025542469
0.4,0.4,1.0,0.7,0.7738137170035109
0.5,0.3,0.1,0.4,0.9996224660069483
0.1,0.7,0.6,0.2,0.5054848141220003
0.5,1.0,0.7,0.1,0.6976553207014361
0.1,0.6,0.7,0.3,0.17962974542775084
0.1,0.6,1.0,0.5,0.697655320701436
0.1,0.3,0.3,0.7,0.9996224660069483
0.2,0.1,0.3,0.7,0.9996224660069485
0.1,0.2,0.5,0.8,0.3680097937135515
0.1,0.5,0.4,0.0,0.697655320701436
0.1,0.2,0.4,0.1,0.4398610726151681
0.3,0.3,0.1,0.0,0.697277786708385
0.1,0.6,0.1,0.3,0.2523234929907734
0.0,0.3,0.5,0.0,0.26181939009537497
0.1,0.4,0.7,0.6,0.42101009549673174
0.7,0.6,0.8,0.6,0.9996224660069485
0.4,0.7,0.7,0.9,0.9996224660069485
0.2,0.4,0.9,0.2,0.6976553207014357
1.0,0.5,0.5,0.6,0.9996224660069483
0.2,1.0,0.5,0.9,0.4121430650234868
0.6,0.5,0.2,0.7,0.9996224660069485
0.1,0.5,0.1,0.5,0.9996224660069485
0.1,0.9,0.3,0.7,0.6166348929235274
0.3,0.1,0.9,0.7,1.0
0.1,1.0,0.1,0.8,0.3391958371036629
0.1,1.0,0.6,0.6,0.41614652101068467
0.1,0.5,0.9,0.5,0.7738137170035108
0.1,0.7,0.9,0.9,0.9996224660069485
0.1,0.2,0.9,0.2,0.6617377297640278
0.1,0.6,0.4,0.3,0.3851051348042359
0.1,0.2,0.7,0.5,0.4544380183451764
0.1,0.8,1.0,0.5,0.6976553207014357
0.2,0.3,0.3,0.5,0.9996224660069483
0.0,0.3,0.4,0.1,0.697655320701436
0.1,0.4,0.3,0.0,0.4381189592717028
0.2,0.8,0.3,0.8,0.4916899719870762
0.1,0.4,1.0,0.0,0.41422324154580353
0.2,0.0,0.8,0.3,0.7738137170035108
0.1,0.3,0.5,0.7,0.5126118049130646
0.1,0.3,0.7,0.7,0.19944918429799524
0.1,0.5,0.6,0.8,0.7738137170035108
0.1,0.2,0.2,0.6,0.5650255471485287
0.0,0.1,0.8,0.3,0.34732168311530576
0.1,0.3,0.1,0.9,0.3021448393646205
0.3,0.4,0.4,0.9,0.9996224660069486
0.1,0.8,0.6,0.5,0.6976553207014359
0.7,0.6,0.8,1.0,0.7738137170035108
0.3,0.3,0.1,0.2,0.9129063747598197
0.9,0.3,0.6,0.8,0.9996224660069483
0.4,0.2,0.3,0.8,0.9996224660069486
0.1,0.3,0.0,0.0,0.4161465210106848
0.1,0.5,0.4,0.1,0.3040569374385423
0.1,0.6,0.1,0.4,0.6972777867083847
0.5,0.6,0.7,0.6,0.9996224660069483
0.4,0.5,0.0,0.2,0.7552560207999137
0.1,0.3,0.3,0.8,0.24160856594097832
0.0,0.2,0.5,0.7,0.9996224660069483
0.1,1.0,0.6,0.7,0.2988352523369536
0.2,0.1,0.9,0.7,0.7738137170035105
0.1,0.4,0.7,0.7,0.4474115007478046
0.2,1.0,0.6,0.1,0.43811895927170286
0.1,0.2,0.5,0.9,0.5650255471485288
0.3,0.1,0.9,0.9,0.5126118049130647
0.2,0.5,0.6,0.6,0.7738137170035109
0.7,0.6,0.9,0.1,0.7556335547929648
0.0,0.1,0.9,0.0,0.697655320701436
0.1,0.2,0.4,0.2,0.37853111401875067
0.1,0.7,0.2,1.0,0.4289004966501812
0.1,0.8,0.2,0.7,0.43811895927170275
